Point_ID,Annotation,Region,X,Y,Z
2818,0,2,34074,32268,0
2819,0,2,34087,32271,0
2820,0,2,34096,32273,0
2821,0,2,34104,32275,0
2822,0,2,34113,32275,0
2823,0,2,34125,32277,0
2824,0,2,34130,32277,0
2825,0,2,34136,32279,0
2826,0,2,34140,32279,0
2827,0,2,34145,32281,0
2828,0,2,34149,32283,0
2829,0,2,34155,32283,0
2830,0,2,34159,32285,0
2831,0,2,34168,32285,0
2832,0,2,34174,32285,0
2833,0,2,34179,32288,0
2834,0,2,34183,32290,0
2835,0,2,34187,32290,0
2836,0,2,34198,32290,0
2837,0,2,34202,32290,0
2838,0,2,34208,32290,0
2839,0,2,34215,32290,0
2840,0,2,34223,32292,0
2841,0,2,34232,32292,0
2842,0,2,34234,32292,0
2843,0,2,34240,32294,0
2844,0,2,34245,32294,0
2845,0,2,34253,32296,0
2846,0,2,34259,32296,0
2847,0,2,34266,32296,0
2848,0,2,34272,32296,0
2849,0,2,34279,32296,0
2850,0,2,34289,32298,0
2851,0,2,34298,32300,0
2852,0,2,34306,32300,0
2853,0,2,34317,32300,0
2854,0,2,34321,32300,0
2855,0,2,34332,32302,0
2856,0,2,34340,32302,0
2857,0,2,34351,32302,0
2858,0,2,34359,32302,0
2859,0,2,34368,32302,0
2860,0,2,34376,32302,0
2861,0,2,34387,32305,0
2862,0,2,34402,32305,0
2863,0,2,34408,32307,0
2864,0,2,34413,32307,0
2865,0,2,34419,32307,0
2866,0,2,34423,32307,0
2867,0,2,34430,32307,0
2868,0,2,34434,32307,0
2869,0,2,34442,32309,0
2870,0,2,34449,32309,0
2871,0,2,34455,32309,0
2872,0,2,34464,32309,0
2873,0,2,34472,32309,0
2874,0,2,34483,32309,0
2875,0,2,34491,32309,0
2876,0,2,34502,32309,0
2877,0,2,34508,32309,0
2878,0,2,34513,32309,0
2879,0,2,34515,32309,0
2880,0,2,34519,32309,0
2881,0,2,34530,32309,0
2882,0,2,34538,32309,0
2883,0,2,34545,32309,0
2884,0,2,34553,32309,0
2885,0,2,34559,32309,0
2886,0,2,34566,32309,0
2887,0,2,34572,32309,0
2888,0,2,34579,32309,0
2889,0,2,34583,32309,0
2890,0,2,34593,32309,0
2891,0,2,34596,32309,0
2892,0,2,34604,32309,0
2893,0,2,34608,32309,0
2894,0,2,34613,32309,0
2895,0,2,34617,32309,0
2896,0,2,34621,32309,0
2897,0,2,34625,32309,0
2898,0,2,34630,32309,0
2899,0,2,34638,32311,0
2900,0,2,34647,32311,0
2901,0,2,34655,32311,0
2902,0,2,34664,32311,0
2903,0,2,34668,32311,0
2904,0,2,34674,32311,0
2905,0,2,34683,32311,0
2906,0,2,34687,32311,0
2907,0,2,34696,32311,0
2908,0,2,34708,32311,0
2909,0,2,34713,32311,0
2910,0,2,34719,32311,0
2911,0,2,34723,32311,0
2912,0,2,34728,32311,0
2913,0,2,34734,32311,0
2914,0,2,34736,32311,0
2915,0,2,34738,32311,0
2916,0,2,34745,32311,0
2917,0,2,34751,32311,0
2918,0,2,34759,32311,0
2919,0,2,34770,32311,0
2920,0,2,34776,32311,0
2921,0,2,34783,32311,0
2922,0,2,34793,32311,0
2923,0,2,34810,32311,0
2924,0,2,34828,32311,0
2925,0,2,34842,32311,0
2926,0,2,34859,32311,0
2927,0,2,34866,32311,0
2928,0,2,34874,32311,0
2929,0,2,34883,32311,0
2930,0,2,34889,32311,0
2931,0,2,34896,32307,0
2932,0,2,34898,32307,0
2933,0,2,34900,32307,0
2934,0,2,34902,32307,0
2935,0,2,34906,32305,0
2936,0,2,34910,32305,0
2937,0,2,34913,32305,0
2938,0,2,34915,32305,0
2939,0,3,38775,33370,0
2940,0,3,38773,33370,0
